Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,226.500000,230.380005,225.039993,227.850006,227.850006,24897900
2021-01-05,229.050003,240.759995,228.119995,240.399994,240.399994,35823800
2021-01-06,234.949997,238.300003,225.860001,227.610001,227.610001,37146100
2021-01-07,229.309998,229.949997,220.089996,226.899994,226.899994,49361800
2021-01-08,227.880005,238.600006,226.682999,236.190002,236.190002,34884900
2021-01-11,229.899994,230.824997,225.860001,227.369995,227.369995,23036900
2021-01-12,228.384995,229.750000,225.139999,225.600006,225.600006,18969900
2021-01-13,229.940002,240.490005,226.289993,235.300003,235.300003,38805100
2021-01-14,245.309998,245.699997,241.470001,242.979996,242.979996,31381600
2021-01-15,246.250000,246.990005,242.149994,243.460007,243.460007,21561600
2021-01-19,250.000000,252.880005,246.990005,251.649994,251.649994,23681900
2021-01-20,267.500000,269.000000,262.700012,265.489990,265.489990,44640800
2021-01-21,264.130005,264.600006,257.899994,260.000000,260.000000,20709900
2021-01-22,256.799988,260.329987,255.500000,258.619995,258.619995,13518200
2021-01-25,263.619995,265.200012,257.850006,261.380005,261.380005,19478600
2021-01-26,263.799988,266.000000,261.119995,265.920013,265.920013,14681200
2021-01-27,265.130005,265.920013,259.950012,260.250000,260.250000,16050400
2021-01-28,259.170013,261.570007,257.329987,260.760010,260.760010,10244900
2021-01-29,256.029999,258.899994,252.300003,253.830002,253.830002,14693000
2021-02-01,258.799988,265.000000,255.195007,264.690002,264.690002,15289300
2021-02-02,264.570007,265.000000,254.039993,254.500000,254.500000,30534300
2021-02-03,264.700012,268.279999,261.250000,263.429993,263.429993,29179700
2021-02-04,269.579987,269.989990,265.558014,266.959991,266.959991,16763000
2021-02-05,264.609985,266.450012,263.209991,265.670013,265.670013,11018700
2021-02-08,264.980011,265.000000,261.820007,262.589996,262.589996,10721100
2021-02-09,263.000000,267.200012,262.540009,266.489990,266.489990,12432800
2021-02-10,268.700012,270.399994,264.600006,267.790009,267.790009,13090800
2021-02-11,268.750000,274.260010,267.200012,268.929993,268.929993,15295800
2021-02-12,269.089996,270.250000,265.679993,267.850006,267.850006,9355100
2021-02-16,271.000000,274.290009,270.399994,270.700012,270.700012,16708700
2021-02-17,270.890015,272.316010,267.809998,270.829987,270.829987,13262400
2021-02-18,265.230011,266.179993,262.329987,264.510010,264.510010,15382300
2021-02-19,266.049988,269.390015,262.850006,263.589996,263.589996,14718400
2021-02-22,257.989990,259.459991,254.000000,254.000000,254.000000,14403500
2021-02-23,247.309998,254.899994,241.619995,252.750000,252.750000,15980300
2021-02-24,252.000000,252.000000,248.100006,250.339996,250.339996,12831700
2021-02-25,250.000000,250.339996,240.070007,240.179993,240.179993,17967300
2021-02-26,244.630005,244.899994,237.649994,237.759995,237.759995,17470700
2021-03-01,241.050003,242.789993,239.259995,241.690002,241.690002,14043300
2021-03-02,238.789993,241.199997,234.270004,234.419998,234.419998,14644200
2021-03-03,237.500000,239.608994,234.451004,236.270004,236.270004,13571700
2021-03-04,235.000000,236.369995,228.360001,230.500000,230.500000,22964800
2021-03-05,235.419998,236.429993,228.339996,233.889999,233.889999,15988400
2021-03-08,229.020004,230.809998,226.529999,226.690002,226.690002,17138400
2021-03-09,233.380005,238.740005,233.074997,238.139999,238.139999,15291300
2021-03-10,241.000000,241.324997,233.639999,234.300003,234.300003,10491200
2021-03-11,237.199997,241.720001,235.000000,240.800003,240.800003,15162500
2021-03-12,233.695007,235.449997,229.705994,231.869995,231.869995,17778400
2021-03-15,228.410004,230.449997,226.259995,230.279999,230.279999,14499700
2021-03-16,228.070007,229.850006,225.529999,226.929993,226.929993,19336600
2021-03-17,226.500000,235.630005,225.809998,233.339996,233.339996,16949500
2021-03-18,238.559998,239.500000,235.559998,236.429993,236.429993,14822300
2021-03-19,239.660004,241.600006,236.884003,239.789993,239.789993,15959700
2021-03-22,235.854996,238.529999,235.000000,237.119995,237.119995,12063200
2021-03-23,237.300003,241.119995,235.500000,237.669998,237.669998,12295600
2021-03-24,236.830002,237.300003,229.240005,229.589996,229.589996,15949900
2021-03-25,225.000000,229.240005,222.500000,222.720001,222.720001,24819800
2021-03-26,222.000000,229.238998,220.419998,227.259995,227.259995,22030800
2021-03-29,225.490005,232.380005,225.100006,231.860001,231.860001,18029100
2021-03-30,229.270004,230.449997,226.639999,229.250000,229.250000,14828700
2021-03-31,229.889999,231.520004,226.470001,226.729996,226.729996,16825400
2021-04-01,230.679993,231.250000,223.500000,224.360001,224.360001,23497500
2021-04-05,226.529999,226.570007,222.520004,225.300003,225.300003,14962100
2021-04-06,226.029999,232.000000,225.740005,230.570007,230.570007,18100400
2021-04-07,226.110001,228.190002,224.800003,225.419998,225.419998,18034900
2021-04-08,228.500000,229.419998,226.619995,228.240005,228.240005,12211300
2021-04-09,224.850006,225.070007,221.320007,223.309998,223.309998,19763000
2021-04-12,237.889999,244.910004,236.649994,244.009995,244.009995,57500300
